LOCUS,GD,WD,PD,JD,JS,PS,GS,SUMMARY
3696:75 [3919],m,,m,m,m,m,,
3697:68 [3920],Sd,,,,Sd,,Sd,
3697:77 [3921],,,,,,,,
3700:8 [3922],,,,m,,m,,
3700:9 [3923],m,m,m,m,m,,,
3700:26 [3924],,,,,m,m,,
3702:3 [3925],,m,m,,,m,,
3702:8 [3926],,,,,,,,
3702:35 [3927],m,m,m,m,,m,,
3702:51 [3928],,,,,,,,
3702:55 [3929],m,m,m,m,,m,,
3702:76 [3930],,,m,,,,m,
3707:7 [3931],m,,m,,m,,m,
3707:27 [3932],,,m,,,,,
3707:39 [3933],,m,,,m,m,m,
3707:43 [3934],,Sd,,,,,,
3707:48 [3935],m,,m,,m,,m,
3707:56 [3936],m,m,m,,,,,
3707:74 [3937],m,,,,m,m,m,
3710:39 [3938],,,,,,,,
3710:51 [3939],,,m,,,,m,
3710:54 [3940],,,,,,,,
3710:73 [3941],,,,,,,,
3710:74 [3942],,,m,,,,m,
3710:78 [3943],,,m,,,,m,
3712:5 [3944],,,,,,m,,
3712:32 [3945],m,m,m,m,Sd,m,,
3712:44 [3946],m,m,m,m,Sd,m,,
3712:45 [3947],m,m,m,m,Sd,m,,
3714:20 [3948],,,,,,,,
3714:22 [3949],,m,m,m,m,,,
3714:24 [3950],,,,,,,,
3714:51 [3951],,,,,,,,
3716:32 [3952],m,,,m,,m,m,
3716:33 [3953],,,,,,,Sd,
3719:1 [3954],Sd,,,,,,,
3719:27 [3955],Sd,,,,Sd,,,
3723:8 [3956],,m,m,m,m,m,m,
3723:12 [3957],,,m,m,m,m,,
3723:45 [3958],,,,,,Sd,,
3725:2 [3959],,,,,,,,
3725:74 [3960],,,,,,,,
3726:4 [3961],,,,,,,Sd,
3726:8 [3962],,,m,,m,,m,
3726:28 [3963],,,,,,,,
3726:47 [3964],m,m,,,,,,
3726:78 [3965],,,,,,,,
3728:6 [3966],,m,m,m,m,m,m,
3728:37 [3967],,,,,,,Sd,
3728:38 [3968],,,,,,,,
3728:41 [3969],,,,,,,,
3730:10 [3970],,Sd,m,,m,,,
3730:57 [3971],,,,,,Sd,,
3730:61 [3972],,m,,m,,m,,
3730:68 [3973],,,,,,,,
3731:34 [3974],m,,m,,m,m,m,
3731:44 [3975],m,,m,,m,m,m,
3731:47 [3976],,,,,,,,
3731:48 [3977],m,,m,,m,m,m,
3731:58 [3978],m,m,m,m,m,,m,
3731:61 [3979],m,,m,,m,m,m,
3731:72 [3980],,m,m,m,m,,m,
3736:1 [3981],m,,m,m,,,m,
3736:5 [3982],,,,,Sd,,,
3736:7 [3983],,,,,,,,
3736:60 [3984],,,,,,,,
3736:77 [3985],m,,m,m,,,m,
3739:48 [3986],,,,,,,,
3741:4 [3987],m,,,,,,,
3741:14 [3988],,,,,,,,
3741:21 [3989],m,,,m,Sd,m,,
3741:26 [3990],Sd,,,,,,,
3741:34 [3991],m,,m,m,,m,m,
3741:76 [3992],m,m,,m,,m,m,
3742:9 [3993],m,Sd,m,,,m,,
3742:13 [3994],Sd,,,m,,,,
3742:18 [3995],m,m,,m,,,,
3742:37 [3996],,,,,,,m,
3742:44 [3997],m,m,m,,m,m,m,
3742:61 [3998],Sd,,,m,,,,
3748:1 [3999],m,m,,m,m,m,,
3748:12 [4000],,Sd,m,,,Sd,,
3748:13 [4001],,,,,,,,
3748:48 [4002],,,,,,Sd,,
3748:50 [4003],m,m,,,,,,
3753:56 [4004],,,Sd,,,,,
3753:58 [4005],,,Sd,,,,,
3753:64 [4006],m,m,m,m,m,Sd,Sd,
3753:69 [4007],,,Sd,Sd,,,,
3756:10 [4008],,m,,m,,m,m,
3756:19 [4009],m,,m,,m,Sd,,
3756:55 [4010],m,Sd,m,Sd,Sd,m,Sd,
3761:47 [4011],,,,,,,,
3761:57 [4012],,m,m,m,m,m,m,
3761:66 [4013],,,,,,Sd,,
3761:73 [4014],,,,,,,,
3764:28 [4015],,,,,,Sd,,
3764:32 [4016],m,m,,,,,,
3764:63 [4017],,m,,,m,,,
3768:15 [4018],,m,,m,,,,
3768:40 [4019],,,,,,m,,
3768:46 [4020],,,,,,,Se,EXCESS
3768:48 [4021],,,,,,,,
3768:58 [4022],,,,,,m,,
3768:59 [4023],,,,Sd,,,,
3768:63 [4024],,,,Sd,,,,
3776:28 [4025],,m,,,,,m,
3776:49 [4026],,m,,,,,m,
3776:51 [4027],Sd,,,,,,Sd,
3776:79 [4028],Sd,Sd,Sd,Sd,Sd,Sd,Sd,SIGN
3779:19 [4029],,Sd,,,Sd,,,
3779:30 [4030],m,,m,,Sd,,m,
3779:54 [4031],,Sd,,,,,,
3779:61 [4032],,,,,Sd,,,
3783:22 [4033],m,m,,Sd,,m,m,
3788:8 [4034],m,,Sd,Sd,Sd,Sd,m,
3788:11 [4035],m,,Sd,Sd,Sd,Sd,m,
3788:17 [4036],m,,m,m,m,Sd,Sd,
3788:19 [4037],m,,Sd,Sd,Sd,Sd,m,
3788:22 [4038],m,,Sd,Sd,Sd,Sd,m,
3788:36 [4039],,m,,m,,m,m,
3788:69 [4040],m,,Sd,Sd,Sd,Sd,m,
3794:2 [4041],m,,m,m,Sd,m,m,
3794:38 [4042],m,,m,,,m,m,
3796:18 [4043],m,m,,m,m,,,
3796:34 [4044],Sd,,m,Sd,Sd,,m,
3799:56 [4045],Sd,,,,,Sd,,
3801:2 [4046],,m,m,,m,m,m,
3801:16 [4047],m,m,m,,,m,m,
3801:22 [4048],m,,m,m,,m,m,
3801:23 [4049],m,m,m,,,m,m,
3801:33 [4050],m,,m,,m,,m,
3803:16 [4051],,,,m,m,,m,
3808:69 [4052],Sd,,,,,,,
3809:46 [4053],,m,Sd,,m,m,,
3809:52 [4054],m,m,,Sd,,,,
3809:63 [4055],,Sd,,,,,,
3809:64 [4056],m,,m,,,,,
3816:75 [4057],m,m,m,m,Sd,Sd,,
3818:17 [4058],m,m,m,m,,m,,
3818:23 [4059],,,,,,,,
3818:43 [4060],,,,,m,m,m,
3818:62 [4061],Sd,Sd,,Sd,m,,Sd,
3820:31 [4062],,,,,,,,
3820:36 [4063],,m,,,,,,
3820:44 [4064],,m,m,m,m,,m,
3820:71 [4065],,m,m,,m,m,,
3820:73 [4066],,,,m,,m,,
3820:74 [4067],m,m,,m,m,m,,
3820:77 [4068],,m,,,,m,m,
3824:17 [4069],,m,Sd,m,,,,
3824:32 [4070],,,Sd,,,,,
3831:6 [4071],m,m,m,,,,,
3831:49 [4072],,Sd,,,,,Sd,
3831:78 [4073],m,,Sd,,,,,
3832:10 [4074],Sd,,,,,,Sd,
3832:58 [4075],Sd,,,,,,Sd,
3832:74 [4076],Sd,,,,,,Sd,
3833:7 [4077],,m,,m,,,m,
3833:31 [4078],,,,m,m,,Sd,
3834:13 [4079],,,,,,,,
3834:20 [4080],,,,,,,,
3834:26 [4081],m,,,m,,m,m,
3834:27 [4082],m,,,m,,m,m,
3834:51 [4083],Sd,,,m,Sd,,m,
3837:35 [4084],m,m,m,,,,m,
3837:57 [4085],,,,,,m,,
3839:2 [4086],m,,m,m,m,m,Sd,
3839:31 [4087],,Sd,,,,,,
3839:66 [4088],m,,m,m,m,m,Sd,
3842:6 [4089],,,,,,,,
3852:26 [4090],,,,,,,,
3853:33 [4091],,,,,,,,
3853:50 [4092],,,,,,,,
3853:54 [4093],,,,,,,,
3866:10 [4094],Sd,,,Sd,,,,
3866:19 [4095],,,,,,,,
3872:33 [4096],m,m,m,,,m,m,
3872:48 [4097],m,,,,,m,,
3872:55 [4098],m,,m,,,m,,
3874:66 [4099],m,m,m,,m,,m,
3880:12 [4100],,,,,m,m,,
3880:34 [4101],m,,m,m,,m,,
3880:54 [4102],,,m,,,,,
3880:59 [4103],,,,,m,m,,
3880:60 [4104],m,m,m,,,,Sd,
3880:68 [4105],m,m,m,m,,m,m,
3880:79 [4106],,,,,m,m,,
3885:5 [4107],m,,,,m,,m,
3885:38 [4108],m,m,m,,m,Sd,m,
3885:44 [4109],m,m,m,,m,m,,
3888:9 [4110],,Sd,,Sd,,m,Sd,
3888:36 [4111],Sd,,,,,,Sd,
3888:49 [4112],,,,,,,,
3888:54 [4113],,Sd,,,,,,
3889:7 [4114],m,,,m,m,m,Sd,
3895:14 [4115],m,,,,,m,m,
3895:28 [4116],m,m,m,m,m,,,
3895:44 [4117],,,,,Sd,,,
3901:28 [4118],m,,,m,m,m,m,
3901:51 [4119],m,m,m,,m,,,
3901:65 [4120],m,m,m,,m,,,
3908:15 [4121],,,,Sd,,,,
3908:25 [4122],,,,Sd,,,,
3908:48 [4123],m,m,,m,,,,
3912:10 [4124],,,,,,,,
3912:19 [4125],,,,,,,,
3912:54 [4126],,,,,,,,
3912:60 [4127],,,,,,,,
3913:8 [4128],,,m,,,,m,
3913:42 [4129],m,m,m,,m,m,,
3914:8 [4130],,,m,m,m,,,
3914:21 [4131],,,,,,,,
3914:34 [4132],,,,,Sd,,,
3916:12 [4133],m,m,,m,,,,
3916:78 [4134],m,m,,m,m,,m,
3917:24 [4135],m,,,m,m,m,m,
3917:35 [4136],m,m,,m,,m,m,
3917:39 [4137],m,,,,m,Sd,,
3917:57 [4138],m,m,m,,m,,,
3920:9 [4139],m,,m,m,m,Sd,m,
3920:26 [4140],,,,Sd,,,,
3920:76 [4141],,,,,,,Sd,
3920:78 [4142],m,,m,m,m,m,,
3921:53 [4143],,,,,m,m,m,
3922:3 [4144],m,,m,,Sd,,m,
3922:58 [4145],,,,m,,,m,
3923:40 [4146],m,m,m,m,m,m,m,FIXED
3923:46 [4147],m,m,m,m,m,m,m,FIXED
3923:54 [4148],m,m,,,,,,
3923:56 [4149],,,m,m,m,,,
3929:5 [4150],,,,,,,,
3929:26 [4151],m,m,,,m,m,,
3929:68 [4152],,,,,,,,
3931:1 [4153],,m,,m,,,,
3931:45 [4154],m,,m,,m,,m,
3932:19 [4155],,,,,Sd,,Sd,
3932:29 [4156],m,,,,Sd,,,
3932:67 [4157],m,,,,Sd,,,
3932:73 [4158],m,,,,Sd,,,
3933:29 [4159],,,,,Sd,,Sd,
3933:30 [4160],m,Sd,,m,m,m,,
3933:66 [4161],m,Sd,,m,m,m,,
3934:13 [4162],m,,,Sd,m,,,
3934:53 [4163],,,Sd,,,,Sd,
3934:57 [4164],,,,,,,,
3934:73 [4165],,,m,Sd,,m,,
3939:15 [4166],,,,,,,,
3939:17 [4167],,,,,,,,
3939:30 [4168],,,,,,,,
3939:44 [4169],,,,,,,,
3939:52 [4170],,m,m,m,,m,m,
3939:60 [4171],,,m,,m,m,m,
3939:73 [4172],m,,m,m,,m,,
3939:75 [4173],,,,,,Sd,,
3940:36 [4174],,,Sd,,,,,
3940:80 [4175],m,,,m,,,Sd,
3941:5 [4176],,,,,,,,
3941:27 [4177],,,m,,,m,,
3941:54 [4178],,,,,,,,
3950:34 [4179],m,,m,,Sd,,,
3954:10 [4180],m,m,,m,m,m,,
3954:15 [4181],m,m,,,,m,,
3954:25 [4182],m,,,m,,,,
3954:40 [4183],m,,,m,m,,,
3954:58 [4184],m,,,,,,,
3955:16 [4185],,,,,,,,
3955:17 [4186],m,m,m,Sd,m,m,,
3955:62 [4187],,,,,,,Sd,
3955:68 [4188],,,,,,,Sd,
3957:16 [4189],m,,m,m,m,,m,
3957:19 [4190],m,,,,,m,,
3957:58 [4191],,m,m,,,m,m,
3957:75 [4192],,m,m,,,m,m,
3959:21 [4193],m,,,,,,,
3959:23 [4194],,,,m,,,,
3959:34 [4195],m,,m,m,m,,,
3959:40 [4196],m,,,,,m,,
3960:40 [4197],,,m,,,,Sd,
3963:32 [4198],m,m,m,,m,m,m,
3963:75 [4199],m,m,,m,Sd,,Sd,
3963:79 [4200],,,,m,,,,
3969:12 [4201],,m,m,m,Sd,,m,
3969:16 [4202],,m,m,m,m,,,
3969:68 [4203],,m,m,m,m,,,
3972:34 [4204],,m,,m,,,m,
3972:43 [4205],m,,m,m,,m,m,
3972:64 [4206],,,,,,,,
3977:25 [4207],Sd,m,,m,Sd,m,m,
3977:60 [4208],Sd,m,,m,Sd,m,m,
3977:62 [4209],m,m,,m,m,,m,
3977:63 [4210],m,m,,m,m,,m,
3977:66 [4211],m,,,,,,,
3984:6 [4212],m,,,m,,m,m,
3984:22 [4213],,,,,,,,
3984:36 [4214],Sd,m,m,,m,,Sd,
3984:41 [4215],m,,,m,,m,m,
3984:69 [4216],,,,,,,m,
3985:41 [4217],m,,,,m,m,,
3990:38 [4218],,,,,,,,
3990:59 [4219],,,,,,,,
3990:66 [4220],,,,,,,,
3990:72 [4221],,,,,,,,
3997:16 [4222],m,,,m,Sd,m,m,
3997:66 [4223],,,,,,,Sd,
3997:68 [4224],m,,,m,,m,m,
4005:1 [4225],,,m,,m,,m,
4005:54 [4226],,,,,Sd,,,
4011:11 [4227],m,m,m,m,m,m,m,FIXED
4011:15 [4228],,,,,,,,
4011:18 [4229],,m,m,,,m,,
4011:51 [4230],m,m,m,m,m,m,m,FIXED
4011:63 [4231],,Sd,,,,,,
4011:68 [4232],m,m,m,m,,m,,
4011:79 [4233],,Sd,,,,,,
4014:3 [4234],m,,Sd,m,m,,,
4014:20 [4235],m,,,m,m,m,,
4014:23 [4236],,,Sd,,,,,
4014:41 [4237],,Sd,,,,,,
4014:51 [4238],,,Sd,,,,,
4014:72 [4239],m,,m,,m,m,,
4019:31 [4240],,,,,,,,
4019:38 [4241],m,,m,m,m,m,,
4019:49 [4242],,,,,,Sd,,
4019:68 [4243],,,Sd,,,,,
4019:76 [4244],,,,,m,,,
4020:13 [4245],,,,,,,,
4020:25 [4246],,m,,m,m,m,,
4020:54 [4247],,m,m,,,,m,
4020:55 [4248],,m,m,,,,m,
4022:9 [4249],,m,m,Sd,m,m,,
4022:24 [4250],,,,,,,,
4022:74 [4251],,,,,,,,
4024:47 [4252],,,,,,,,
4024:58 [4253],,,,,,,,
4024:68 [4254],,,,,,,,
4026:8 [4255],,,,,,,,
4026:36 [4256],,,,,,,,
4026:76 [4257],,,,,,,,
4030:2 [4258],Sd,Sd,Sd,m,m,Sd,Sd,SIGN
4030:10 [4259],Sd,m,Sd,Sd,m,m,,
4030:13 [4260],,,m,,,m,,
4030:23 [4261],Sd,m,,m,m,m,,
4030:24 [4262],Sd,m,,m,m,m,,
4030:34 [4263],m,m,m,,,m,m,
4030:42 [4264],Sd,,,,,Sd,Sd,
4030:61 [4265],,,Sd,,,,,
4030:74 [4266],Sd,,,,,m,m,
4032:60 [4267],m,m,m,,,,,
4032:72 [4268],,,,m,,,m,
4040:23 [4269],,,,,,,,
4040:32 [4270],,,,Sd,,,,
4040:33 [4271],Sd,,,Sd,,Sd,,
4040:50 [4272],,,,Sd,,,,
4040:57 [4273],,Sd,,,Sd,,,
4040:73 [4274],,,,Sd,,,,
4042:10 [4275],m,m,m,m,m,Sd,Sd,
4042:52 [4276],,Sd,Sd,Sd,,,,
4042:66 [4277],m,m,m,m,Sd,Sd,m,
4042:78 [4278],m,m,m,m,m,Sd,Sd,
4052:12 [4279],,,,Sd,,,,
4052:18 [4280],,,,,,,,
4052:21 [4281],m,,m,,,,,
4052:37 [4282],m,Sd,m,,,,,
4052:60 [4283],,,m,m,,,m,
4052:68 [4284],m,,m,,,,,
4056:18 [4285],m,m,m,m,,Sd,,
4056:33 [4286],m,m,m,m,,Sd,,
4056:52 [4287],,,,m,,,m,
4056:63 [4288],,,,Sd,,,,
4059:1 [4289],m,m,m,m,m,,Sd,
4059:13 [4290],Sd,,Sd,,,,Sd,
4059:14 [4291],,m,,m,,,,
4059:16 [4292],m,,,m,,,m,
4059:46 [4293],m,,m,,,,m,
4059:54 [4294],m,,m,,,,m,
4060:17 [4295],,,,,,,,
4060:19 [4296],,,,,,Sd,,
4060:28 [4297],,,,,,m,,
4060:30 [4298],,,,,m,m,,
4060:31 [4299],Sd,,,,,Sd,,
4060:48 [4300],,,,,,,,
4060:75 [4301],m,m,m,m,,,m,
4062:31 [4302],,,,,m,,,
4062:74 [4303],Sd,m,,,m,,,
4066:6 [4304],m,,,,m,,,
4066:11 [4305],,,,,,,,
4066:29 [4306],,,,,,,,
4066:41 [4307],m,,,,m,,,
4066:44 [4308],m,m,m,,,,,
4066:51 [4309],,,,,,,,
4066:60 [4310],m,,,,m,,,
4066:62 [4311],m,m,m,m,,,,
4066:70 [4312],m,m,m,m,,,,
4076:19 [4313],,Sd,,Sd,m,m,,
4080:47 [4314],Sd,,,,,Sd,,
4081:6 [4315],,,,Sd,,,,
4081:25 [4316],,,,,,,m,
4081:33 [4317],,Sd,,,,,,
4081:36 [4318],,,,m,,m,,
4081:55 [4319],,,Sd,,,,,
4081:69 [4320],,,,,,,,
4081:70 [4321],,,,,,m,,
4088:41 [4322],m,m,,,Sd,m,Sd,
4088:65 [4323],m,m,,,Sd,m,Sd,
4092:64 [4324],m,,,m,m,m,m,
4092:78 [4325],,,,,,Sd,,
4094:23 [4326],,,,,,,,
4100:48 [4327],,m,,m,m,m,,
4101:60 [4328],m,,,m,m,,,
4106:34 [4329],,,,,,,,
4106:53 [4330],,,,,,,,
4106:67 [4331],,,,,,,,
4108:11 [4332],m,,,,,,,
4108:74 [4333],m,m,,m,,,m,
4111:46 [4334],m,,Sd,m,,Sd,m,
4114:39 [4335],,,Sd,,,,,
4117:12 [4336],m,m,m,m,,m,,
4117:35 [4337],,,,,,,,
4117:53 [4338],,,,,,,,
4117:56 [4339],m,m,m,,m,,m,
4117:76 [4340],m,m,,m,,,,
4118:4 [4341],,m,,m,,m,,
4118:39 [4342],m,,m,m,m,m,m,
4121:13 [4343],,,,,,,,
4121:14 [4344],,,,Sd,,,,
4126:14 [4345],,,,,,,,
4126:17 [4346],m,,,Sd,Sd,,,
4126:25 [4347],m,,,m,,,Sd,
4126:42 [4348],m,,,m,,,Sd,
4126:51 [4349],,,,,m,,m,
4126:52 [4350],,m,m,m,m,m,,
4126:61 [4351],Sd,m,,,m,m,m,
4126:65 [4352],,,,m,,,,
4126:74 [4353],,m,m,m,m,m,,
4131:4 [4354],,,m,m,m,m,m,
4131:8 [4355],,,m,m,m,m,m,
4131:20 [4356],,m,,m,m,,m,
4131:22 [4357],m,,m,,Sd,m,,
4131:59 [4358],,m,,,,m,,
4142:24 [4359],,,,,,m,m,
4142:34 [4360],,,,,,Sd,,
4142:49 [4361],,,,,,,,
4142:50 [4362],,m,m,m,m,m,m,
4142:56 [4363],,,m,,m,,,
4142:57 [4364],m,m,Sd,,m,m,m,
4142:66 [4365],,,,,,Sd,,
4149:12 [4366],,,,,,,,
4149:61 [4367],,,,,,,,
4149:63 [4368],,,,,,,,
4149:70 [4369],,,,,,,,
4155:47 [4370],,,,,,,m,
4155:75 [4371],,,m,,m,m,m,
4160:10 [4372],,,,,,Sd,,
4160:18 [4373],m,,m,m,,m,m,
4160:22 [4374],m,m,m,m,m,m,,
4160:59 [4375],,,,,,,,
4160:76 [4376],,,m,,,Sd,,
4160:79 [4377],,m,m,m,,m,m,
4162:5 [4378],m,m,,m,m,m,m,
4162:50 [4379],,,,,,,,
4162:53 [4380],,,m,,,,,
4162:54 [4381],m,m,m,,m,,,
4162:62 [4382],,,m,,,,,
4162:70 [4383],,Sd,m,,,,,
4162:76 [4384],,m,m,,,m,m,
4173:28 [4385],,,,,,,,
4173:36 [4386],,m,m,m,m,,,
4173:67 [4387],,m,m,m,m,,,
4185:20 [4388],,m,,,m,Sd,,
4185:64 [4389],,,m,m,m,m,,
4187:69 [4390],,m,m,,m,m,,
4188:52 [4391],,m,m,m,m,m,m,
4188:61 [4392],m,,,,,,,
4188:63 [4393],,,,,m,,m,
4189:12 [4394],,m,m,,m,m,,
4189:14 [4395],,m,,,,,,
4189:37 [4396],,m,m,,,m,,
4189:41 [4397],,m,,,,,Sd,
4189:58 [4398],,,,,,,,
4189:60 [4399],m,m,,m,m,,m,
4189:64 [4400],,Sd,m,,,m,,
4189:65 [4401],,Sd,m,,,m,,
4192:6 [4402],,,Sd,,Sd,,,
4192:14 [4403],Sd,,,,Sd,,,
4192:33 [4404],,,,,,,,
4192:37 [4405],m,,m,,Sd,m,,
4193:8 [4406],,m,m,m,m,m,m,
4198:25 [4407],,m,,m,m,m,m,
4198:54 [4408],m,m,m,m,,,m,
4201:74 [4409],,,,,,,,
4208:59 [4410],m,,m,,m,,m,
4209:28 [4411],m,,,m,,m,,
4209:70 [4412],m,,m,,,m,m,
4213:20 [4413],,,,,,,,
4213:32 [4414],,,,,,,,
4215:40 [4415],,,m,,,,,
4215:78 [4416],,m,,m,m,,,
4216:30 [4417],m,Sd,m,m,m,,,
4216:38 [4418],,,,,Sd,,Sd,
4216:40 [4419],,m,m,m,,m,m,
4216:79 [4420],m,Sd,,m,m,,m,
4217:21 [4421],m,,m,m,m,m,,
4217:26 [4422],,m,,m,m,m,,
4217:37 [4423],,,Sd,,,,,
4220:47 [4424],,,,,,,,
4222:71 [4425],,m,m,m,,,,
4222:75 [4426],,m,m,m,,,,
4227:15 [4427],,,,Sd,,,,
4227:25 [4428],m,,m,m,m,m,,
4227:47 [4429],m,,,m,,,m,
4227:80 [4430],,,,,,,,
4228:7 [4431],,,,m,m,,m,
4228:9 [4432],m,,m,m,,,m,
4228:11 [4433],m,,m,m,,,m,
4228:34 [4434],,,,,,m,,
4228:36 [4435],,,,,,m,,
4228:37 [4436],,,,,,,,
4228:50 [4437],,,m,m,,m,m,
4228:74 [4438],,,,,,,Sd,
4229:6 [4439],m,,m,m,m,Sd,,
4229:13 [4440],m,,m,m,m,Sd,m,
4229:35 [4441],,,,Sd,,Sd,,
4229:72 [4442],,,,,,Sd,,
4236:13 [4443],,,,,,,,
4236:40 [4444],,,,,,Sd,,
4236:43 [4445],,,,,,,,
4236:71 [4446],,,,,,,,
4239:28 [4447],,,,,,Sd,,
4239:31 [4448],m,m,m,m,m,m,m,FIXED
4239:33 [4449],m,m,m,m,m,m,m,FIXED
4239:75 [4450],,m,m,m,,m,Sd,
4249:24 [4451],,,,m,,,,
4249:58 [4452],,,m,,,,,
4249:59 [4453],,,,m,,,,
4253:65 [4454],,m,m,m,,m,m,
4255:21 [4455],,,,,,,,
4255:30 [4456],m,m,m,m,m,,m,
4255:37 [4457],,m,m,,m,m,m,
4255:60 [4458],,m,m,m,,,m,
4255:65 [4459],m,m,m,m,,,,
4255:70 [4460],m,m,m,m,,,,
4268:2 [4461],,,,,,,,
4268:14 [4462],m,,m,m,m,m,,
4268:15 [4463],,,,,,,,
4268:39 [4464],m,,,m,m,,,
4268:45 [4465],m,m,Sd,,,,,
4268:74 [4466],m,,,m,m,,,
4270:10 [4467],,,,Sd,,,,
4270:12 [4468],,,,,,,,
4270:19 [4469],,m,m,m,,m,m,
4270:20 [4470],,m,,,m,m,,
4270:38 [4471],m,m,m,m,,,m,
4270:47 [4472],m,m,m,m,m,,,
4271:2 [4473],,,,,,,,
4271:7 [4474],,,m,m,,,,
4271:12 [4475],Sd,m,,,m,m,m,
4271:23 [4476],,,,,,,,
4271:46 [4477],,,,,,,,
4271:48 [4478],,,,,,,,
4274:5 [4479],,m,m,,,m,,
4274:25 [4480],,,,m,,m,,
4274:26 [4481],m,m,m,,Sd,m,m,
4274:68 [4482],m,m,Sd,,,,,
4274:70 [4483],,Sd,Sd,,,Sd,Sd,
4274:73 [4484],m,,m,,m,m,m,
4276:28 [4485],,,m,m,,,Sd,
4276:29 [4486],m,m,,Sd,,m,m,
4276:34 [4487],,m,m,m,,,,
4276:35 [4488],,m,m,m,,,,
4276:57 [4489],,,m,,Sd,Sd,,
4276:65 [4490],Sd,,,,Sd,,,
4279:33 [4491],m,,,,m,,m,
4279:39 [4492],m,m,m,m,m,,,
4279:70 [4493],,,,,,,,
4282:77 [4494],m,Sd,m,m,m,m,Sd,
4283:6 [4495],,,,,,,,
4283:39 [4496],,,,m,m,,,
4283:51 [4497],,m,,m,m,,m,
4283:62 [4498],,,,,,,m,
4288:19 [4499],,,m,m,,,,
4288:40 [4500],,,m,m,,,,
4292:3 [4501],,,m,,Sd,m,,
4292:13 [4502],,,,Sd,Sd,Sd,,
4292:45 [4503],,,,,,m,Sd,
4292:61 [4504],m,m,,m,m,,m,
4294:61 [4505],,,,,m,Sd,m,
4298:19 [4506],,m,,m,,,,
4303:3 [4507],,,,,,,,
4303:12 [4508],,,m,,,,,
4303:44 [4509],Sd,m,m,m,m,m,,
4303:54 [4510],m,Sd,m,,m,m,m,
4303:67 [4511],m,m,,m,,,,
4313:1 [4512],,,,,,,,
4313:6 [4513],,,,,,,,
4313:10 [4514],,,,,,,,
4313:22 [4515],,m,,m,m,m,,
4318:50 [4516],m,,m,,,,,
4322:12 [4517],m,,m,m,m,,Sd,
4322:59 [4518],m,,m,,,m,,
4333:7 [4519],,,,,,,,
4333:41 [4520],m,,,m,m,m,,
4333:53 [4521],,,,,,,,
4333:56 [4522],,,,,,,,
4338:42 [4523],m,,m,m,m,,m,
4338:56 [4524],m,,m,m,m,,m,
4338:76 [4525],,,,,,,Sd,
4340:5 [4526],,m,m,m,m,,m,
4340:11 [4527],m,m,m,,,m,Sd,
4340:17 [4528],Sd,,,,,,,
4340:45 [4529],m,,,m,m,,Sd,
4347:12 [4530],m,m,m,,,,,
4347:45 [4531],m,,m,m,,,m,
4347:59 [4532],,m,,m,m,m,Sd,
4347:64 [4533],,Sd,,,Sd,,,
4347:67 [4534],m,,m,m,,,m,
4353:6 [4535],,,,,,,,
4353:36 [4536],m,m,,m,,m,,
4353:50 [4537],,,,,,,,
4353:65 [4538],m,m,,m,,m,,
4353:66 [4539],m,,,m,,,m,
4353:71 [4540],,,,,,,,
4355:4 [4541],,,,,,,,
4355:14 [4542],m,Sd,m,m,m,m,m,
4355:69 [4543],m,Sd,m,m,m,m,m,
4356:31 [4544],,,,,,,Sd,
4356:62 [4545],,,,,,Sd,Sd,
4358:35 [4546],Sd,m,m,m,m,m,m,
4358:50 [4547],,m,,,,Sd,,
4358:61 [4548],m,m,m,,m,,m,
4364:12 [4549],Sd,m,,m,m,m,,
4364:38 [4550],,,,,,,,
4364:41 [4551],Sd,m,,m,m,m,,
4364:50 [4552],,m,m,,,m,,
4364:52 [4553],Sd,Sd,,,,,Sd,
4364:61 [4554],Sd,m,,m,m,m,,
4367:78 [4555],m,,,m,m,,m,
4371:19 [4556],,,m,m,m,,m,
4372:20 [4557],m,,m,m,,m,,
4372:33 [4558],,,,,,,,
4372:35 [4559],,,,,,,m,
4374:4 [4560],m,m,,m,m,,m,
4374:14 [4561],,,,,,,,
4374:39 [4562],,,,,,,,
4374:40 [4563],,,,,,,,
4374:41 [4564],,,,m,,,,
4375:2 [4565],,m,m,,,,,
4377:28 [4566],m,m,m,,m,,m,
4377:49 [4567],,m,,Sd,,,m,
4377:78 [4568],m,m,m,m,m,m,,
4377:79 [4569],m,m,m,,,m,,
4378:3 [4570],,m,,m,m,,,
4378:21 [4571],,,,,,,,
4378:32 [4572],,,,,,,,
4378:48 [4573],,,,,,,,
4378:66 [4574],,,,,,,,
4378:71 [4575],,,,,,,,
4382:76 [4576],m,,,m,,,m,
4386:63 [4577],m,m,,Sd,m,m,m,
4405:12 [4578],m,,,,Sd,,Sd,
4409:44 [4579],m,,m,,m,m,,
4409:47 [4580],,Sd,,Sd,,,Sd,
4415:1 [4581],,,,,,,,
4415:20 [4582],,,,,,,,
4415:30 [4583],,,,,,,,
4415:66 [4584],,,,,,,,
4415:70 [4585],,,,,,,,
4415:74 [4586],,,,,m,Sd,,
4416:48 [4587],Sd,,Sd,,,Sd,,
4416:56 [4588],Sd,,Sd,,,Sd,,
4416:78 [4589],m,m,m,,Sd,m,m,
4424:16 [4590],,,m,,,,,
4425:69 [4591],,,m,,Sd,Sd,,
4429:38 [4592],m,m,,m,m,m,m,
